,Address,Age of Construction,Area,Authority Approval,Balcony,Bathrooms,Bedrooms,Car parking,Carpet area,Facing,Floor,Flooring,Furnished status,Furnishing,Landmarks,Lift,Overlooking,Price,RERA ID,Status,Status of Electricity,Store Room,Super area,Transaction type,Type of Ownership,Water Availability,flat Size
238,,,JAMMU M.C.K.HIGH SCHOOL,,,,,,,,,,,,,,,,,,,,,,,,
239,,,CAC JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
240,,,"KARAN NAGAR, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
241,,,SHAKTI NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
242,,,JAIN BAZAR JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
243,,,JAMMU MAIN,,,,,,,,,,,,,,,,,,,,,,,,
244,,,KUNJWANI BYE PASS JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
245,,,JAMMU 2 RESIDENCY ROAD,,,,,,,,,,,,,,,,,,,,,,,,
246,,,CITIZENS COOP BANK JAMMU MOTI BAZAR,,,,,,,,,,,,,,,,,,,,,,,,
247,,,CITIZENS COOP BANK JAMMU KANAKMANDI,,,,,,,,,,,,,,,,,,,,,,,,
248,,,CITIZENS COOP BANK JAMMU VINAIK BZR,,,,,,,,,,,,,,,,,,,,,,,,
249,,,"RESHAM GHAR COLONY, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
250,,,JAMMU [MAIN],,,,,,,,,,,,,,,,,,,,,,,,
251,,,PURANI MANDI,,,,,,,,,,,,,,,,,,,,,,,,
252,,,"KATRA, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
253,,,SIMBAL MORR,,,,,,,,,,,,,,,,,,,,,,,,
254,,,JAMMU MUTHI,,,,,,,,,,,,,,,,,,,,,,,,
255,,,OLD SATWARI JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
256,,,RANBEER SINGH PURA,,,,,,,,,,,,,,,,,,,,,,,,
257,,,CITIZENS COOP BANK JAMMU R S PURA,,,,,,,,,,,,,,,,,,,,,,,,
258,,,RANBIRSINGPORA,,,,,,,,,,,,,,,,,,,,,,,,
259,,,JAMMU REHARI,,,,,,,,,,,,,,,,,,,,,,,,
260,,,REHAL DHAMALIAN,,,,,,,,,,,,,,,,,,,,,,,,
261,,,TARORE,,,,,,,,,,,,,,,,,,,,,,,,
262,,,GHAGOUR,,,,,,,,,,,,,,,,,,,,,,,,
263,,,SAMBA JAMMU & KASHMIR,,,,,,,,,,,,,,,,,,,,,,,,
264,,,GHAGWAL,,,,,,,,,,,,,,,,,,,,,,,,
265,,,KEHLI MANDI  SAMBA,,,,,,,,,,,,,,,,,,,,,,,,
266,,,SUPWAL,,,,,,,,,,,,,,,,,,,,,,,,
267,,,"CENTRAL UNIVERSITY OF JAMMU,BAGLA",,,,,,,,,,,,,,,,,,,,,,,,
268,,,CITIZENS COOP BANK JAMMU VIJAYPUR,,,,,,,,,,,,,,,,,,,,,,,,
269,,,BOHRI,,,,,,,,,,,,,,,,,,,,,,,,
270,,,TALAB TILLO,,,,,,,,,,,,,,,,,,,,,,,,
271,,,TALAB TILO,,,,,,,,,,,,,,,,,,,,,,,,
272,,,CITIZENS COOP BANK JAMMU TALABTILLO,,,,,,,,,,,,,,,,,,,,,,,,
273,,,SHALIMAR ROAD(MAIN),,,,,,,,,,,,,,,,,,,,,,,,
274,,,JAMMU MAIN BRANCH,,,,,,,,,,,,,,,,,,,,,,,,
275,,,"NARWAL BR, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
276,,,DANSAL,,,,,,,,,,,,,,,,,,,,,,,,
277,,,JAGTI TOWNSHIP,,,,,,,,,,,,,,,,,,,,,,,,
278,,,NAGROTA,,,,,,,,,,,,,,,,,,,,,,,,
279,,,SAJWAL,,,,,,,,,,,,,,,,,,,,,,,,
280,,,"DUMANA RAJPUR AKNOOR RD, DISTT",,,,,,,,,,,,,,,,,,,,,,,,
281,,,DOMANA,,,,,,,,,,,,,,,,,,,,,,,,
282,,,JOURIAN,,,,,,,,,,,,,,,,,,,,,,,,
283,,,BATHINDI,,,,,,,,,,,,,,,,,,,,,,,,
284,,,"BARI BHAHMANA, DISTT. JAMMU (J",,,,,,,,,,,,,,,,,,,,,,,,
285,,,BSF PALOURA,,,,,,,,,,,,,,,,,,,,,,,,
286,,,BANTALAB JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
287,,,DURGA NAGAR BANTALAB JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
288,,,AMB GROTA,,,,,,,,,,,,,,,,,,,,,,,,
289,,,KULLIAN,,,,,,,,,,,,,,,,,,,,,,,,
290,,,PALOURA JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
291,,,SIDHRA JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
292,,,JAMMU-TRIKUTA NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
293,,,CANAL ROAD JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
294,,,TRIKUTA NAGAR (JAMMU),,,,,,,,,,,,,,,,,,,,,,,,
295,,,NOWABAD(SUNJAWAN),,,,,,,,,,,,,,,,,,,,,,,,
296,,,"GANGYAL, DISTT. JAMMU (J & K)",,,,,,,,,,,,,,,,,,,,,,,,
297,,,GREATER KAILASH JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
298,,,"MAIN ROAD JANIPUR CHOWK ,JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
299,,,FRUIT COMPLEX JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
300,,,"JAMMU REHARI CHOWK, DISTT. JAM",,,,,,,,,,,,,,,,,,,,,,,,
301,,,JAMMU-REHARI CHOWK,,,,,,,,,,,,,,,,,,,,,,,,
302,,,SARWAL,,,,,,,,,,,,,,,,,,,,,,,,
303,,,NEW PLOT JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
304,,,REHARI JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
305,,,JAMMU-GANDHI NAGAR,,,,,,,,,,,,,,,,,,,,,,,,
306,,,GANDHINAGR JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
307,,,GANDHINAGAR - JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
308,,,NANAK NAGAR JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
309,,,JAMMU CANTT.,,,,,,,,,,,,,,,,,,,,,,,,
310,,,NEW UNIVERSITY CAMPUS JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
311,,,NAI BASTI JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
312,,,FRIENDS COLONY PALOURA,,,,,,,,,,,,,,,,,,,,,,,,
313,,,CAMP GOLE  GUJRAL,,,,,,,,,,,,,,,,,,,,,,,,
314,,,"TALAB TILLOO, JAMMU",,,,,,,,,,,,,,,,,,,,,,,,
315,,,TALAB TILLO JAMMU,,,,,,,,,,,,,,,,,,,,,,,,
316,,,B. C. ROAD,,,,,,,,,,,,,,,,,,,,,,,,
